Type,Depth,Magnitude,ID,Latitude,Longitude,Dates
Earthquake,30.0,5.6,ISCGEM858191,21.122,121.148,1965-03-01 13:20:57
Earthquake,33.6,5.7,ISCGEM858198,52.204,173.911,1965-03-01 19:22:04
Earthquake,105.2,5.6,ISCGEM858202,15.404,-92.623,1965-03-01 21:32:14
Earthquake,10.0,5.8,ISCGEM858256,38.399,28.226,1965-03-02 22:00:05
Earthquake,15.0,5.6,ISCGEM858295,-27.145,-177.262,1965-03-03 14:39:02
Earthquake,14.8,6.7,ISCGEM858296,-5.514,151.819,1965-03-03 15:14:08
Earthquake,25.7,6.3,ISCGEM858298,53.046,171.308,1965-03-03 16:47:28
Earthquake,200.0,5.7,ISCGEM858312,-5.487,146.993,1965-03-04 01:48:56
Earthquake,30.0,5.5,ISCGEM858343,50.928,179.511,1965-03-05 06:15:04
Earthquake,35.0,5.6,ISCGEM858354,52.39,174.937,1965-03-05 13:42:47
Earthquake,560.8,5.8,ISCGEM858356,-27.027,-63.214,1965-03-05 14:32:18
Earthquake,35.0,5.6,ISCGEM858362,52.416,174.239,1965-03-05 17:59:16
Earthquake,10.0,5.6,ISCGEM858385,-18.425,-132.923,1965-03-06 11:10:51
Earthquake,45.0,5.8,ISCGEM858396,20.13,121.461,1965-03-06 20:23:57
Earthquake,50.0,6.0,ISCGEM858401,-29.998,-177.968,1965-03-07 01:43:11
Earthquake,15.0,6.1,ISCGEM858461,39.197,23.86,1965-03-09 17:57:55
Earthquake,20.0,5.7,ISCGEM858558,53.292,-162.331,1965-03-13 07:33:24
Earthquake,207.8,7.4,ISCGEM858598,36.405,70.724,1965-03-14 15:53:07
Earthquake,15.0,5.8,ISCGEM858608,22.635,121.117,1965-03-15 02:02:09
Earthquake,32.1,6.4,ISCGEM858655,40.697,143.032,1965-03-16 16:46:17
Earthquake,25.0,6.0,ISCGEM858677,52.785,171.821,1965-03-17 14:27:15
Earthquake,224.9,6.3,ISCGEM858689,-20.036,-175.89,1965-03-18 06:22:12
Earthquake,35.0,5.7,ISCGEM858693,-55.857,-26.758,1965-03-18 12:40:45
Earthquake,40.0,6.0,ISCGEM858722,-1.887,119.836,1965-03-19 16:20:53
Earthquake,28.9,6.3,ISCGEM858755,-1.547,126.623,1965-03-21 11:08:19
Earthquake,30.5,6.5,ISCGEM858772,-15.262,-173.254,1965-03-22 02:44:49
Earthquake,48.8,6.2,ISCGEM858793,-31.974,-71.573,1965-03-22 22:56:27
Earthquake,25.0,6.2,ISCGEM858819,-15.382,-173.194,1965-03-23 23:54:05
Earthquake,55.0,5.7,ISCGEM858845,8.418,126.553,1965-03-24 22:42:12
Earthquake,40.0,5.8,ISCGEM858938,55.26,161.904,1965-03-28 13:23:01
Earthquake,70.0,7.4,ISCGEM858940,-32.522,-71.233,1965-03-28 16:33:16
Earthquake,30.0,6.4,ISCGEM858966,40.687,142.915,1965-03-29 10:47:38
Earthquake,20.0,5.9,ISCGEM858978,-20.502,-173.701,1965-03-30 00:21:00
Earthquake,20.0,7.6,ISCGEM858982,50.282,177.959,1965-03-30 02:27:06
Earthquake,75.0,6.8,ISCGEM859094,38.365,22.405,1965-03-31 09:47:31
Earthquake,60.0,5.9,ISCGEMSUP857323,9.986,125.896,1965-04-01 07:08:37
Earthquake,10.0,5.8,ISCGEM857413,15.8,-98.067,1965-04-03 11:20:43
